pclass,survived,sex,age,fare
third,0,male,18,6.4958
third,0,male,21,6.4958
third,1,female,47,7
third,0,male,,8.7124996
third,0,male,,7.5500002
third,0,male,,8.0500002
third,0,male,28.5,16.1
third,0,male,21,7.25
third,0,male,27,8.6625004
third,0,male,,7.25
third,0,male,36,9.5
third,0,male,27,14.4542
third,0,male,45.5,7.2249999
third,0,male,,7.2249999
third,0,male,,14.4583
third,0,female,,14.4542
third,0,male,26.5,7.2249999
third,0,male,27,7.2249999
third,0,male,29,7.875
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,1,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,0,male,,
crew,1,female,,
crew,1,female,,
crew,1,female,,
crew,1,female,,
crew,1,female,,
crew,1,female,,
crew,1,female,,
crew,1,female,,
crew,1,female,,
crew,1,female,,
crew,1,female,,
crew,1,female,,
crew,1,female,,
crew,1,female,,
crew,1,female,,
crew,1,female,,
crew,1,female,,
crew,1,female,,
crew,1,female,,
crew,1,female,,
crew,0,female,,
crew,0,female,,
crew,0,female,,
